task_id	hash	process	tag	status	exit	start	container	cpus	time	disk	memory	duration	realtime	queue	%cpu	%mem	rss	vmem	rchar	wchar
158	9f/63a789	READ_MAPPING	MINIA	COMPLETED	0	2021-08-01 00:06:22.504	docker:cimendes/minimap2:2.17.2	4	-	-	20 GB	22m 20s	22m 15s	-	159.8%	2.4%	3.1 GB	4 GB	20.7 GB	8.5 GB
230	bc/351118	ASSEMBLY_STATS_GLOBAL	MINIA	COMPLETED	0	2021-08-01 00:28:42.700	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	4.9s	1.9s	-	127.4%	0.0%	43.2 MB	466.1 MB	29.3 MB	942 B
94	6f/74e6f6	IDBA	ERR2935805	FAILED	0	2021-07-31 23:50:57.363	docker:cimendes/idba:1.1.3-1	4	-	-	16 GB	38m 40s	38m 34s	-	331.5%	6.3%	16 GB	19.6 GB	20 GB	5 GB
216	4c/59063b	READ_MAPPING	MEGAHIT	COMPLETED	0	2021-08-01 00:24:02.681	docker:cimendes/minimap2:2.17.2	4	-	-	20 GB	6m 5s	6m 2s	-	166.8%	2.1%	2.7 GB	3.4 GB	5.6 GB	2 GB
232	36/cee5a5	ASSEMBLY_STATS_GLOBAL	MEGAHIT	COMPLETED	0	2021-08-01 00:30:07.740	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	4.9s	1.8s	-	123.5%	0.0%	42.5 MB	461.6 MB	37 MB	924 B
27	df/ffd366	MEGAHIT	ERR2984773	COMPLETED	0	2021-07-31 23:44:47.358	docker:cimendes/megahit-assembler:1.2.9-1	4	-	-	16 GB	47m 3s	46m 50s	-	346.8%	1.6%	2.1 GB	2.2 GB	22.3 GB	9.5 GB
233	6a/79f723	FILTER_ASSEMBLY	MEGAHIT	COMPLETED	0	2021-08-01 00:31:52.729	docker:pcerqueira/bbtools:38.44	4	-	-	8 GB	4.9s	1s	-	139.8%	0.0%	11.6 MB	55.5 MB	43.5 MB	31 MB
235	4c/a5ea94	ASSEMBLY_MAPPING	MEGAHIT	COMPLETED	0	2021-08-01 00:31:57.754	docker:cimendes/minimap2:2.17-1	4	-	-	8 GB	20s	15.4s	-	303.5%	0.6%	744.3 MB	2.7 GB	119.6 MB	136.2 KB
236	9a/d08e2f	MISASSEMBLY	MEGAHIT	COMPLETED	0	2021-08-01 00:32:17.737	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	4.9s	2.7s	-	92.3%	0.1%	74 MB	492 MB	13.8 MB	6.9 KB
237	3c/666f88	SNP_ASSESSMENT	MEGAHIT	COMPLETED	0	2021-08-01 00:32:17.808	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	19.9s	13.2s	-	96.6%	0.1%	111.1 MB	551.8 MB	97.9 MB	185.8 KB
